loc searched,loc_url,lat,lon,name_only,address_only,pulse_address,loc_type,num_reviews,avg_review,temp_perm_closed,price_level,website,hours,phone_number,img_url,Service options,Highlights,Popular for,Accessibility,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,Health & safety,Planning
"Jasper Place Apartments, 1350 Jasper Pl SE, Washington, DC 20020","https://www.google.com/maps/place/Jasper+Place+Apartments/@38.8515807,-76.9824206,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b95e2f88b787:0xf10af2c00240c5d7!8m2!3d38.8515597!4d-76.9823902",38.8515597,-76.9823902,Jasper Place Apartments,"1350 Jasper Pl SE, Washington, DC 20020 ","V229+J2 Washington, District of Columbia",Apartment complex,4,3.8,,,jasperplaceapartments.com,"Tuesday, 7AM to 2PM; Wednesday, 7AM to 2PM; Thursday, 7AM to 2PM; Friday, 7AM to 2PM; Saturday, 8AM to 1PM; Sunday, Closed; Monday, 7AM to 2PM.",(202) 509-1558,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PBs8NFGDl-V3c-4oHis4ag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=313.8643&pitch=0&thumbfov=100,,,,,,,,,,,,
"Journey Anacostia, 1201 Good Hope Rd SE, Washington, DC 20020","https://www.google.com/maps/place/Journey+Anacostia/@38.86717,-76.988574,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c7739b2071:0x2b45fa53f9f459ed!8m2!3d38.86717!4d-76.988574",38.86717,-76.988574,Journey Anacostia,"1201 Good Hope Rd SE, Washington, DC 20020 ","V286+VH Washington, District of Columbia",Art museum,2,3.5,,,,"Tuesday, 7AM to 2PM; Wednesday, 7AM to 2PM; Thursday, 7AM to 2PM; Friday, 7AM to 2PM; Saturday, 8AM to 1PM; Sunday, Closed; Monday, 7AM to 2PM.",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fK7CcUqT16wRoGehofkeKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.73767&pitch=0&thumbfov=100,,,,,,,,,,,,
"Kings Cafe, 2100 Martin Luther King Jr Ave SE #2100, Washington, DC 20020","https://www.google.com/maps/place/Kings+Cafe/@38.8653463,-76.9893893,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b711e92c99b3:0x5396305554910f18!8m2!3d38.8653404!4d-76.9893734",38.8653404,-76.9893734,Kings Cafe,"2100 Martin Luther King Jr Ave SE #2100, Washington, DC 20020 ","V286+46 Washington, District of Columbia",Diner,31,4.0,,,,"Tuesday, 7AM to 2PM; Wednesday, 7AM to 2PM; Thursday, 7AM to 2PM; Friday, 7AM to 2PM; Saturday, 8AM to 1PM; Sunday, Closed; Monday, 7AM to 2PM.",(202) 889-0333,https://lh5.googleusercontent.com/p/AF1QipPeBfH9mTxuKM3PtL6Lg3PzuyWi3KMM68Yj3ZlI=w408-h725-k-no,"['Offers takeout', 'No delivery']",['Serves great coffee'],"['Popular for breakfast', 'Popular for lunch', 'Good for solo dining']",,"['Serves coffee', 'Serves comfort food', 'Quick bite']",['Serves dessert'],['Good for kids'],['Casual'],,['Accepts NFC mobile payments'],"['Mask required', 'Staff wear masks', 'Staff get temperature checks']",
"Kraft Studio, 1239 Good Hope Rd SE, Washington, DC 20020","https://www.google.com/maps/place/Kraft+Studio/@38.8670124,-76.9874039,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b7ef024207cd:0x8ad6419f0fac8ffd!8m2!3d38.8670782!4d-76.9873853",38.8670782,-76.9873853,Kraft Studio,"1239 Good Hope Rd SE, Washington, DC 20020 ","V287+R2 Washington, District of Columbia",Artist,1,5.0,,,craigkraftstudio.com,"Tuesday, 10AM to 5PM; Wednesday, 10AM to 5PM; Thursday, 10AM to 5PM; Friday, 10AM to 5PM; Saturday, Closed; Sunday, Closed; Monday, 10AM to 5PM.",(202) 588-9655,https://lh5.googleusercontent.com/p/AF1QipP21IdubIpt5FPuyDNDEpCMpd2IPhY3TIRW7GJD=w408-h725-k-no,,,,,,,,,,,,
"Lee's Brunch, 2221 Minnesota Ave SE, Washington, DC 20020","https://www.google.com/maps/place/Lee's+Brunch/@38.8716526,-76.9738087,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9ae459a1383:0x13a9022fd6f44687!8m2!3d38.8717171!4d-76.9738614",38.871717100000005,-76.9738614,Lee's Brunch,"2221 Minnesota Ave SE, Washington, DC 20020 ","V2CG+MF Washington, District of Columbia",Brunch restaurant,110,4.3,,,,"Tuesday, 6:30AM to 4PM; Wednesday, 6:30AM to 4PM; Thursday, 6:30AM to 4PM; Friday, 6:30AM to 4PM; Saturday, 6:30AM to 4PM; Sunday, Closed; Monday, 6:30AM to 4PM.",(202) 582-2285,https://lh5.googleusercontent.com/p/AF1QipPiTotQJJkL51rebpJxdCYMGmBD-wDZmw0RmKBA=w408-h306-k-no,"['Offers takeout', 'No delivery', 'No dine-in']",,"['Popular for breakfast', 'Good for solo dining']",,"['Serves coffee', 'Serves comfort food', 'Quick bite']",['Serves dessert'],['Good for kids'],['Casual'],,,,
"Malcolm X Ave & South Capitol St, Washington, DC 20032",,,,,,,,,,,,,"Tuesday, 9AM to 4PM; Wednesday, 9AM to 4PM; Thursday, 9AM to 4PM; Friday, 9AM to 4PM; Saturday, Closed; Sunday, Closed; Monday, 9AM to 4PM.",,,,,,,,,,,,,,
"Mama's Pizza Kitchen, washington dc","https://www.google.com/maps/place/Mama's+Pizza+Kitchen/@38.8657917,-76.989122,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c11fc38b8f:0xe01a8407e5e5e35f!8m2!3d38.8658091!4d-76.9892111",38.8658091,-76.98921109999999,Mama's Pizza Kitchen,"2028 Martin Luther King Jr Ave SE, Washington, DC 20020 ","V286+89 Washington, District of Columbia",Pizza restaurant,593,4.3,,Inexpensive,mamaspizzatogo.com,"Tuesday, 5AM to 8PM; Wednesday, 5AM to 8PM; Thursday, 5AM to 8PM; Friday, 5AM to 8PM; Saturday, 5AM to 8PM; Sunday, 5AM to 6PM; Monday, 5AM to 8PM.",(202) 678-6262,https://lh5.googleusercontent.com/p/AF1QipNSrPiAz6wuVdK_juqSSD5MGn9scUqg3HOaO6PP=w426-h240-k-no,"['Has no-contact delivery', 'Offers delivery', 'Offers takeout', 'No dine-in']",,"['Popular for lunch', 'Popular for dinner', 'Good for solo dining']","['Has wheelchair accessible parking lot', 'Has wheelchair accessible restroom', 'No wheelchair accessible entrance']","['Serves comfort food', 'Serves late-night food', 'Quick bite']","['Serves lunch', 'Serves dinner', 'Serves dessert', 'Has seating']","['Good for kids', 'Has restroom']","['Casual', 'Cozy']","['Family-friendly', 'Good for groups']",['Accepts NFC mobile payments'],['Mask required'],
"Manor Village, 1717 Alabama Ave SE, Washington, DC 20020","https://www.google.com/maps/place/Manor+Village/@38.8464616,-76.979575,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b98e4188f637:0x359f911cbd1c6762!8m2!3d38.8464616!4d-76.979575",38.846461600000005,-76.979575,Manor Village,"1717 Alabama Ave SE, Washington, DC 20020 ","R2WC+H5 Washington, District of Columbia",Apartment building,9,3.1,,,manorvillageapartments.com,"Tuesday, 9AM to 4PM; Wednesday, 9AM to 4PM; Thursday, 9AM to 4PM; Friday, 9AM to 4PM; Saturday, Closed; Sunday, Closed; Monday, 9AM to 4PM.",(202) 889-3611,https://lh5.googleusercontent.com/p/AF1QipOQR-VWdbaqQQL6WsMs0jjsAtv4pK5Lch_pgoFk=w408-h272-k-no,,,,,,,,,,,,
"McDonald's, 2529 Good Hope Rd SE, Washington, DC 20020","https://www.google.com/maps/place/McDonald's/@38.8599781,-76.9688951,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9a173489683:0x3e3e29adac8b9394!8m2!3d38.8599811!4d-76.9689578",38.8599811,-76.9689578,McDonald's,"2529 Good Hope Rd SE, Washington, DC 20020 ","V25J+XC Washington, District of Columbia",Fast food restaurant,"1,734",3.5,,Inexpensive,mcdonalds.com,"Tuesday, Open 24 hours; Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours.",(202) 582-5220,https://lh5.googleusercontent.com/p/AF1QipMEdgY83dugobY0GAjZquuycnEyufAo7FOphKP3=w408-h305-k-no,"['Offers curbside pickup', 'Has no-contact delivery', 'Offers delivery', 'Has drive-through', 'Offers takeout', 'No dine-in']","['Has fast service', 'Serves great coffee']","['Popular for breakfast', 'Popular for lunch', 'Popular for dinner', 'Good for solo dining']","['Has wheelchair accessible elevator', 'Has wheelchair accessible entrance', 'Has wheelchair accessible parking lot', 'Has wheelchair accessible restroom', 'Has wheelchair accessible seating']","['Serves alcohol', 'Serves coffee', ""Has kids' menu"", 'Serves late-night food', 'Quick bite']","['Serves breakfast', 'Serves lunch', 'Serves dinner', 'Serves dessert', 'Has seating']","['Good for kids', 'High chairs available', 'Has restroom']",['Casual'],['Good for groups'],"['Accepts NFC mobile payments', 'Credit cards']",,
"Merry's Kitchen, 2929 Martin Luther King Jr Ave SE, Washington, DC 20032","https://www.google.com/maps/place/Merry's+Kitchen/@38.8453048,-76.9974674,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9f73597c72b:0x11a6cc8f41e80c80!8m2!3d38.8453079!4d-76.9974693",38.845307899999995,-76.99746929999999,Merry's Kitchen,"2929 Martin Luther King Jr Ave SE, Washington, DC 20032 ","R2W3+42 Washington, District of Columbia",Chinese restaurant,128,3.3,,Moderate,,"Tuesday, 11:30AM to 12AM; Wednesday, 11:30AM to 12AM; Thursday, 11:30AM to 12AM; Friday, 11:30AM to 12AM; Saturday, 11:30AM to 12AM; Sunday, 11:30AM to 12AM; Monday, 11:30AM to 12AM.",(202) 562-7180,https://lh5.googleusercontent.com/p/AF1QipND-Hc659-rVMyMBR_UVsQASu05u8EodLQUHO-j=w408-h544-k-no,"['Offers delivery', 'Offers takeout', 'No dine-in']",,"['Popular for lunch', 'Popular for dinner']",['Has wheelchair accessible entrance'],"['Serves comfort food', 'Serves late-night food', 'Quick bite']",,,['Casual'],,,,
"MLK Deli, 3113 Martin Luther King Jr Ave SE, Washington, DC 20032","https://www.google.com/maps/place/MLK+Deli/@38.8435542,-76.9998041,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9f9cee45103:0x44cdf9ff20017da3!8m2!3d38.843533!4d-76.9997879",38.843533,-76.9997879,MLK Deli,"3113 Martin Luther King Jr Ave SE, Washington, DC 20032 ","R2V2+C3 Washington, District of Columbia",Deli,327,4.5,,,themlkdeli.com,"Tuesday, 11AM to 7PM; Wednesday, 11AM to 7PM; Thursday, 11AM to 7PM; Friday, 11AM to 7PM; Saturday, 11AM to 7PM; Sunday, Closed; Monday, 11AM to 7PM.",(202) 597-5897,https://lh5.googleusercontent.com/p/AF1QipMOnvNjqNgXtBPupbEYJXGccef_DmDkiB7ZTSOO=w408-h314-k-no,"['In-store pickup for online orders', 'Has in-store shopping', 'Offers takeout', 'No delivery', 'No dine-in']",,,['No wheelchair accessible entrance'],,,,,,,['Mask required'],['Good for quick visit']
"M L King Ave & Atlantic St, Washington, DC 20032","https://www.google.com/maps/place/M+L+King+Ave+%26+Atlantic+St/@38.831406,-77.010326,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7ba08000e57f3:0x1c41d3dd9a653c40!8m2!3d38.831406!4d-77.010326",38.831406,-77.010326,M L King Ave & Atlantic St,"Washington, DC 20032 ","RXJQ+HV Washington, District of Columbia",Bus stop,,,,,,"Tuesday, 9AM to 4PM; Wednesday, 9AM to 4PM; Thursday, 9AM to 4PM; Friday, 9AM to 4PM; Saturday, Closed; Sunday, Closed; Monday, 9AM to 4PM.",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8G534KjcLzAtBsVYnqhWiA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=274.6044&pitch=0&thumbfov=100,,,,,,,,,,,,
"Motor Club Of America/TVC Marketing, 2201 Hunter Pl SE suite 204, Washington, DC 20020","https://www.google.com/maps/place/Motor+Club+Of+America%2FTVC+Marketing/@38.8579539,-76.986587,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9953a0fede7:0x7210f0542945f1a2!8m2!3d38.8579539!4d-76.986587",38.8579539,-76.986587,Motor Club Of America/TVC Marketing,"2201 Hunter Pl SE suite 204, Washington, DC 20020 ","V257+59 Washington, District of Columbia",Business development service,1,5.0,,,,"Tuesday, Open 24 hours; Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours.",(202) 413-6512,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2oXM1IR_RFqRgDVNjsnAEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.81567&pitch=0&thumbfov=100,,,,,,,,,,,,
"Navy Gateway Inns and Suites, Joint Base Anacostia-Bolling, 3621 Luke Ave SW, Washington, DC 20032","https://www.google.com/maps/place/Navy+Gateway+Inns+and+Suites/@38.8364791,-77.0165776,17z/data=!3m1!4b1!4m8!3m7!1s0x89b7b0aeb175fdff:0xae4d221bef37c076!5m2!4m1!1i2!8m2!3d38.836492!4d-77.0166386",38.836492,-77.0166386,Navy Gateway Inns and Suites,"Joint Base Anacostia-Bolling, 3621 Luke Ave SW, Washington, DC 20032 ","RXPM+H9 Washington, District of Columbia",,151,3.8,,,ngis.dodlodging.net,,(202) 664-8587,https://lh5.googleusercontent.com/p/AF1QipM0ZOL0MJI6rVz18jaWf9TdOSjlyGJ8O9xb7_wk=w408-h306-k-no,,,,,,,,,,,,
"Subway, Chappie James Blvd Bldg. 4514, Washington, DC 20032","https://www.google.com/maps/place/Subway/@38.8413125,-77.0182409,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b0a215187e1d:0x684d64c913751110!8m2!3d38.8414936!4d-77.0176242",38.8414936,-77.01762420000001,Subway,"Chappie James Blvd Bldg. 4514, Washington, DC 20032 ","RXRJ+GP Washington, District of Columbia",Sandwich shop,6,2.8,,Inexpensive,restaurants.subway.com,"Tuesday, 7AM to 7PM; Wednesday, 7AM to 7PM; Thursday, 7AM to 7PM; Friday, 7AM to 7PM; Saturday, 10:30AM to 6PM; Sunday, 10:30AM to 4PM; Monday, 7AM to 7PM.",(202) 563-2611,https://lh5.googleusercontent.com/p/AF1QipP-DyH8JQ9n_zAqa5vkAHCIDLV5b2oefuQGY7zW=w408-h306-k-no,"['Offers delivery', 'Offers takeout', 'Serves dine-in']",,"['Popular for lunch', 'Good for solo dining']",['Has wheelchair accessible entrance'],"['Serves healthy options', 'Quick bite', 'Serves vegetarian options']","['Serves lunch', 'Has catering']",['Good for kids'],['Casual'],,"['Accepts debit cards', 'Accepts NFC mobile payments']",,
"Theater Alliance, 2020 Shannon Pl SE, Washington, DC 20020","https://www.google.com/maps/place/Theater+Alliance/@38.8666669,-76.9898551,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c7194dab53:0x711167f2cb0d4827!8m2!3d38.8665291!4d-76.9899647",38.8665291,-76.9899647,Theater Alliance,"2020 Shannon Pl SE, Washington, DC 20020 ","V286+M3 Washington, District of Columbia",Performing arts theater,11,5.0,Temporarily closed,,theateralliance.com,,(202) 241-2539,https://lh5.googleusercontent.com/p/AF1QipMCNb5IAZ6wtRTnMNdfWWeEBdA299SuYDXuCol7=w408-h612-k-no,,,,,,,,,,,,
"Theatre Threads, 3940 2nd St SW, Washington, DC 20032","https://www.google.com/maps/place/Theatre+Threads/@38.8333803,-77.0107342,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b0a826381cb7:0x2c663ce0dd865e55!8m2!3d38.833376!4d-77.0107255",38.833376,-77.0107255,Theatre Threads,"3940 2nd St SW, Washington, DC 20032 ","RXMQ+9P Washington, District of Columbia",Performing arts theater,3,4.3,Temporarily closed,,,,(202) 563-5304,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=35q7A_lZnXQvReKR5f7JOQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.55618&pitch=0&thumbfov=100,,,,,,,,,,,,
